,composition,Atoms
0,Na1Bi1Br4,"[1, 1, 4]"
1,Na1Bi2Br7,"[1, 2, 7]"
2,Na1Bi3Br10,"[1, 3, 10]"
3,Na1Bi4Br13,"[1, 4, 13]"
4,Na2Bi1Br5,"[2, 1, 5]"
5,Na2Bi3Br11,"[2, 3, 11]"
6,Na3Bi1Br6,"[3, 1, 6]"
7,Na3Bi2Br9,"[3, 2, 9]"
8,Na4Bi1Br7,"[4, 1, 7]"
9,Na4Bi3Br13,"[4, 3, 13]"
10,Na5Bi1Br8,"[5, 1, 8]"
11,Na5Bi2Br11,"[5, 2, 11]"
12,Na6Bi1Br9,"[6, 1, 9]"
13,Na7Bi1Br10,"[7, 1, 10]"
14,Na8Bi1Br11,"[8, 1, 11]"
15,Na1Bi1I4,"[1, 1, 4]"
16,Na1Bi2I7,"[1, 2, 7]"
17,Na1Bi3I10,"[1, 3, 10]"
18,Na1Bi4I13,"[1, 4, 13]"
19,Na2Bi1I5,"[2, 1, 5]"
20,Na2Bi3I11,"[2, 3, 11]"
21,Na3Bi1I6,"[3, 1, 6]"
22,Na3Bi2I9,"[3, 2, 9]"
23,Na4Bi1I7,"[4, 1, 7]"
24,Na4Bi3I13,"[4, 3, 13]"
25,Na5Bi1I8,"[5, 1, 8]"
26,Na5Bi2I11,"[5, 2, 11]"
27,Na6Bi1I9,"[6, 1, 9]"
28,Na7Bi1I10,"[7, 1, 10]"
29,Na8Bi1I11,"[8, 1, 11]"
30,Na1Pb1Br3,"[1, 1, 3]"
31,Na1Pb2Br5,"[1, 2, 5]"
32,Na1Pb3Br7,"[1, 3, 7]"
33,Na1Pb4Br9,"[1, 4, 9]"
34,Na1Pb5Br11,"[1, 5, 11]"
35,Na1Pb6Br13,"[1, 6, 13]"
36,Na2Pb1Br1,"[2, 1, 1]"
37,Na2Pb1Br4,"[2, 1, 4]"
38,Na2Pb3Br8,"[2, 3, 8]"
39,Na2Pb5Br12,"[2, 5, 12]"
40,Na3Pb1Br2,"[3, 1, 2]"
41,Na3Pb1Br5,"[3, 1, 5]"
42,Na3Pb2Br1,"[3, 2, 1]"
43,Na3Pb2Br7,"[3, 2, 7]"
44,Na3Pb4Br11,"[3, 4, 11]"
45,Na4Pb1Br3,"[4, 1, 3]"
46,Na4Pb1Br6,"[4, 1, 6]"
47,Na4Pb3Br1,"[4, 3, 1]"
48,Na4Pb3Br10,"[4, 3, 10]"
49,Na5Pb1Br4,"[5, 1, 4]"
50,Na5Pb1Br7,"[5, 1, 7]"
51,Na5Pb2Br3,"[5, 2, 3]"
52,Na5Pb2Br9,"[5, 2, 9]"
53,Na5Pb3Br2,"[5, 3, 2]"
54,Na5Pb3Br11,"[5, 3, 11]"
55,Na5Pb4Br1,"[5, 4, 1]"
56,Na6Pb1Br5,"[6, 1, 5]"
57,Na6Pb1Br8,"[6, 1, 8]"
58,Na6Pb5Br1,"[6, 5, 1]"
59,Na7Pb1Br6,"[7, 1, 6]"
60,Na7Pb1Br9,"[7, 1, 9]"
61,Na7Pb2Br5,"[7, 2, 5]"
62,Na7Pb2Br11,"[7, 2, 11]"
63,Na7Pb3Br4,"[7, 3, 4]"
64,Na7Pb4Br3,"[7, 4, 3]"
65,Na7Pb5Br2,"[7, 5, 2]"
66,Na7Pb6Br1,"[7, 6, 1]"
67,Na8Pb1Br7,"[8, 1, 7]"
68,Na8Pb1Br10,"[8, 1, 10]"
69,Na8Pb3Br5,"[8, 3, 5]"
70,Na8Pb5Br3,"[8, 5, 3]"
71,Na8Pb7Br1,"[8, 7, 1]"
72,Na9Pb1Br8,"[9, 1, 8]"
73,Na9Pb2Br7,"[9, 2, 7]"
74,Na9Pb4Br5,"[9, 4, 5]"
75,Na9Pb5Br4,"[9, 5, 4]"
76,Na9Pb7Br2,"[9, 7, 2]"
77,Na9Pb8Br1,"[9, 8, 1]"
78,Na10Pb1Br9,"[10, 1, 9]"
79,Na10Pb3Br7,"[10, 3, 7]"
80,Na10Pb7Br3,"[10, 7, 3]"
81,Na10Pb9Br1,"[10, 9, 1]"
82,Na1Pb1I3,"[1, 1, 3]"
83,Na1Pb2I5,"[1, 2, 5]"
84,Na1Pb3I7,"[1, 3, 7]"
85,Na1Pb4I9,"[1, 4, 9]"
86,Na1Pb5I11,"[1, 5, 11]"
87,Na1Pb6I13,"[1, 6, 13]"
88,Na2Pb1I1,"[2, 1, 1]"
89,Na2Pb1I4,"[2, 1, 4]"
90,Na2Pb3I8,"[2, 3, 8]"
91,Na2Pb5I12,"[2, 5, 12]"
92,Na3Pb1I2,"[3, 1, 2]"
93,Na3Pb1I5,"[3, 1, 5]"
94,Na3Pb2I1,"[3, 2, 1]"
95,Na3Pb2I7,"[3, 2, 7]"
96,Na3Pb4I11,"[3, 4, 11]"
97,Na4Pb1I3,"[4, 1, 3]"
98,Na4Pb1I6,"[4, 1, 6]"
99,Na4Pb3I1,"[4, 3, 1]"
100,Na4Pb3I10,"[4, 3, 10]"
101,Na5Pb1I4,"[5, 1, 4]"
102,Na5Pb1I7,"[5, 1, 7]"
103,Na5Pb2I3,"[5, 2, 3]"
104,Na5Pb2I9,"[5, 2, 9]"
105,Na5Pb3I2,"[5, 3, 2]"
106,Na5Pb3I11,"[5, 3, 11]"
107,Na5Pb4I1,"[5, 4, 1]"
108,Na6Pb1I5,"[6, 1, 5]"
109,Na6Pb1I8,"[6, 1, 8]"
110,Na6Pb5I1,"[6, 5, 1]"
