material_id,pretty_formula,icsd_ids
mp-1002206,SiC,[182362]
mp-10164,NaGaTe2,[44702]
mp-1025377,Cd(AgI2)2,[190587]
mp-1057273,Pb,[105158]
mp-1065918,Mn2CuGe,[184949]
mp-1068559,LaCoSi3,[624028]
mp-1070912,CsV2S2O,[430299]
mp-10756,VFeSb,[152794]
mp-1079319,YbMgPb,[602715]
mp-1079802,YNiGe2,[637438]
mp-1080778,K2Re,[23940]
mp-1095061,NbReSi,[645257]
mp-1095063,YFeGe2,[632162]
mp-1103353,YGaPt,[635163]
mp-1103521,Sr8Rh5,[74993]
mp-1103785,Pr3Al11,[609079]
mp-1104511,RbLi3S2O9,[50577]
mp-1104863,BaYbFe4O7,[251000]
mp-1105126,SrMn7O12,"[252385, 252386, 195755]"
mp-11114,KCuPdSe5,[281423]
mp-11279,TiBe,"[616457, 58743]"
mp-11525,TmNi,"[646985, 105428, 646996]"
mp-11714,SiC,[164971]
mp-11755,Lu6Sb2Mo,[98974]
mp-1181385,K(IO3)2,[23772]
mp-1182381,MnP(HO)7,[65686]
mp-1188677,YbGe2Pt,[658748]
mp-1189258,Y6PtI10,[424468]
mp-1189639,Th3Ni3Sn4,[657422]
mp-1189871,Zr5Sn3N,[656291]
mp-1190065,Nd2Ga2Co15,[623133]
mp-1190815,Nd3GaNiSe7,[426888]
mp-1192364,HgTe2(OF5)2,[194226]
mp-1192415,Yb(TmS2)2,[651293]
mp-1192449,NClO4,"[1946, 30564, 23931, 633, 36153, 8042]"
mp-1192640,Na2Nb4Se4O19,[239095]
mp-1192979,Ce(ClO)3,[74951]
mp-1193313,V3Fe3C,[617880]
mp-1193687,Ce6Ni6P17,[2243]
mp-1194369,NaZnSiO4,[88000]
mp-1195999,Cs2CdP2O7,[425115]
mp-1196390,CuSb3XeF23,[428809]
mp-1196573,NaYbN4,"[21023, 25326]"
mp-1196738,LaPb8N7O33,[238225]
mp-1196892,RbErP2O7,[421379]
mp-1197196,Li2Mo15Se19,[642164]
mp-1197221,Er2S3O20,[91550]
mp-1197772,U2Co15Ge2,[658285]
mp-1197850,YbFe5P3,[603734]
mp-1199263,Ce4(YS2)11,[622072]
mp-1199385,Er10In20Ni9,[600961]
mp-1199741,Zn3TeP2Pb3O14,[188508]
mp-1201758,KGe,[636772]
mp-1202301,PH18PtC6S3ClF6,[281568]
mp-1202812,VCu13As3S16,[610353]
mp-1203699,Rb3IO5,[4326]
mp-1204268,CoB10H31C18O,[168958]
mp-1204422,MgP2H10(NO4)2,[414086]
mp-1205197,Dy3Ga2,[629708]
mp-1205475,FeH10S2NO11,[2715]
mp-13064,Dy2O3,[160213]
mp-13089,Cu2SnTe3,[160882]
mp-13771,Sc2Cd3(GeO4)3,[20216]
mp-13798,K2NaTlF6,[22114]
