Novel Material,Atoms,icsd_ids
Na1Bi1Br4,"[1, 1, 4]",
Na1Bi2Br7,"[1, 2, 7]",
Na2Bi1Br5,"[2, 1, 5]",
Na3Bi1Br6,"[3, 1, 6]",
Na3Bi2Br9,"[3, 2, 9]",
Na1Bi1I4,"[1, 1, 4]",
Na1Bi2I7,"[1, 2, 7]",
Na2Bi1I5,"[2, 1, 5]",
Na3Bi1I6,"[3, 1, 6]",
Na3Bi2I9,"[3, 2, 9]",
Na1Pb1Br3,"[1, 1, 3]",
Na1Pb2Br5,"[1, 2, 5]",
Na3Pb1Br5,"[3, 1, 5]",
Na4Pb1Br6,"[4, 1, 6]",
Na1Pb1I3,"[1, 1, 3]",
Na1Pb2I5,"[1, 2, 5]",
Na3Pb1I5,"[3, 1, 5]",
Na4Pb1I6,"[4, 1, 6]",
Na1Sb1Br4,"[1, 1, 4]",
Na1Sb2Br7,"[1, 2, 7]",
Na2Sb1Br5,"[2, 1, 5]",
Na3Sb1Br6,"[3, 1, 6]",
Na3Sb2Br9,"[3, 2, 9]",
Na1Sb1I4,"[1, 1, 4]",
Na1Sb2I7,"[1, 2, 7]",
Na2Sb1I5,"[2, 1, 5]",
Na3Sb1I6,"[3, 1, 6]",
Na3Sb2I9,"[3, 2, 9]",
Na2Sn1Br6,"[2, 1, 6]",
Na2Sn1I6,"[2, 1, 6]",
Na1In1Br4,"[1, 1, 4]",
Na1In2Br7,"[1, 2, 7]",
Na2In1Br5,"[2, 1, 5]",
Na3In1Br6,"[3, 1, 6]",
Na3In2Br9,"[3, 2, 9]",
Na1In1I4,"[1, 1, 4]",
Na1In2I7,"[1, 2, 7]",
Na2In1I5,"[2, 1, 5]",
Na3In1I6,"[3, 1, 6]",
Na3In2I9,"[3, 2, 9]",
K1Bi1Br4,"[1, 1, 4]",
K1Bi2Br7,"[1, 2, 7]",
K2Bi1Br5,"[2, 1, 5]",
K3Bi1Br6,"[3, 1, 6]",
K3Bi2Br9,"[3, 2, 9]",
K1Bi1I4,"[1, 1, 4]",
K1Bi2I7,"[1, 2, 7]",
K2Bi1I5,"[2, 1, 5]",
K3Bi1I6,"[3, 1, 6]",
K3Bi2I9,"[3, 2, 9]",
K1Pb1Br3,"[1, 1, 3]",
K1Pb2Br5,"[1, 2, 5]",
K3Pb1Br5,"[3, 1, 5]",
K4Pb1Br6,"[4, 1, 6]",
K1Pb1I3,"[1, 1, 3]",
K1Pb2I5,"[1, 2, 5]",
K3Pb1I5,"[3, 1, 5]",
K4Pb1I6,"[4, 1, 6]",
K1Sb1Br4,"[1, 1, 4]",
K1Sb2Br7,"[1, 2, 7]",
K2Sb1Br5,"[2, 1, 5]",
K3Sb1Br6,"[3, 1, 6]",
K3Sb2Br9,"[3, 2, 9]",
K1Sb1I4,"[1, 1, 4]",
K1Sb2I7,"[1, 2, 7]",
K2Sb1I5,"[2, 1, 5]",
K3Sb1I6,"[3, 1, 6]",
K3Sb2I9,"[3, 2, 9]",
K2Sn1Br6,"[2, 1, 6]",
K2Sn1I6,"[2, 1, 6]",
K1In1Br4,"[1, 1, 4]",
K1In2Br7,"[1, 2, 7]",
K2In1Br5,"[2, 1, 5]",
K3In1Br6,"[3, 1, 6]",
K3In2Br9,"[3, 2, 9]",
K1In1I4,"[1, 1, 4]",
K1In2I7,"[1, 2, 7]",
K2In1I5,"[2, 1, 5]",
K3In1I6,"[3, 1, 6]",
K3In2I9,"[3, 2, 9]",
Rb1Bi1Br4,"[1, 1, 4]",
Rb1Bi2Br7,"[1, 2, 7]",
Rb2Bi1Br5,"[2, 1, 5]",
Rb3Bi1Br6,"[3, 1, 6]",
Rb3Bi2Br9,"[3, 2, 9]",['[431320]']
Rb1Bi1I4,"[1, 1, 4]",
Rb1Bi2I7,"[1, 2, 7]",
Rb2Bi1I5,"[2, 1, 5]",
Rb3Bi1I6,"[3, 1, 6]",
Rb3Bi2I9,"[3, 2, 9]",['[431321]']
Rb1Pb1Br3,"[1, 1, 3]",
Rb1Pb2Br5,"[1, 2, 5]",
Rb3Pb1Br5,"[3, 1, 5]",
Rb4Pb1Br6,"[4, 1, 6]",
Rb1Pb1I3,"[1, 1, 3]",
Rb1Pb2I5,"[1, 2, 5]",
Rb3Pb1I5,"[3, 1, 5]",
Rb4Pb1I6,"[4, 1, 6]",
Rb1Sb1Br4,"[1, 1, 4]",
Rb1Sb2Br7,"[1, 2, 7]",
Rb2Sb1Br5,"[2, 1, 5]",
Rb3Sb1Br6,"[3, 1, 6]",
Rb3Sb2Br9,"[3, 2, 9]",['[431322]']
Rb1Sb1I4,"[1, 1, 4]",
Rb1Sb2I7,"[1, 2, 7]",
Rb2Sb1I5,"[2, 1, 5]",
Rb3Sb1I6,"[3, 1, 6]",
Rb3Sb2I9,"[3, 2, 9]",['[431323]']
Rb2Sn1Br6,"[2, 1, 6]",
Rb2Sn1I6,"[2, 1, 6]",
Rb1In1Br4,"[1, 1, 4]",
Rb1In2Br7,"[1, 2, 7]",
Rb2In1Br5,"[2, 1, 5]",
Rb3In1Br6,"[3, 1, 6]",
Rb3In2Br9,"[3, 2, 9]",
Rb1In1I4,"[1, 1, 4]",
Rb1In2I7,"[1, 2, 7]",
Rb2In1I5,"[2, 1, 5]",
Rb3In1I6,"[3, 1, 6]",
Rb3In2I9,"[3, 2, 9]",
Cs1Bi1Br4,"[1, 1, 4]",
Cs1Bi2Br7,"[1, 2, 7]",
Cs2Bi1Br5,"[2, 1, 5]",
Cs3Bi1Br6,"[3, 1, 6]",
Cs3Bi2Br9,"[3, 2, 9]",['[1142]']
Cs1Bi1I4,"[1, 1, 4]",
Cs1Bi2I7,"[1, 2, 7]",
Cs2Bi1I5,"[2, 1, 5]",
Cs3Bi1I6,"[3, 1, 6]",
Cs3Bi2I9,"[3, 2, 9]",['[411633]']
Cs1Pb1Br3,"[1, 1, 3]",
Cs1Pb2Br5,"[1, 2, 5]",
Cs3Pb1Br5,"[3, 1, 5]",
Cs4Pb1Br6,"[4, 1, 6]",
Cs1Pb1I3,"[1, 1, 3]",
Cs1Pb2I5,"[1, 2, 5]",
Cs3Pb1I5,"[3, 1, 5]",
Cs4Pb1I6,"[4, 1, 6]",
Cs1Sb1Br4,"[1, 1, 4]",
Cs1Sb2Br7,"[1, 2, 7]",
Cs2Sb1Br5,"[2, 1, 5]",
Cs3Sb1Br6,"[3, 1, 6]",
Cs3Sb2Br9,"[3, 2, 9]",['[39824]']
Cs1Sb1I4,"[1, 1, 4]",
Cs1Sb2I7,"[1, 2, 7]",
Cs2Sb1I5,"[2, 1, 5]",
Cs3Sb1I6,"[3, 1, 6]",
Cs3Sb2I9,"[3, 2, 9]","['[300002, 1447, 84989]']"
Cs2Sn1Br6,"[2, 1, 6]",
Cs2Sn1I6,"[2, 1, 6]",
Cs1In1Br4,"[1, 1, 4]",
Cs1In2Br7,"[1, 2, 7]",
Cs2In1Br5,"[2, 1, 5]",
Cs3In1Br6,"[3, 1, 6]",
Cs3In2Br9,"[3, 2, 9]",
Cs1In1I4,"[1, 1, 4]",
Cs1In2I7,"[1, 2, 7]",
Cs2In1I5,"[2, 1, 5]",
Cs3In1I6,"[3, 1, 6]",
Cs3In2I9,"[3, 2, 9]",
