composition,Atoms,isovalent
Na1Bi1Br4,"[1, 1, 4]",True
Na1Bi2Br7,"[1, 2, 7]",True
Na1Bi3Br10,"[1, 3, 10]",False
Na1Bi4Br13,"[1, 4, 13]",False
Na2Bi1Br5,"[2, 1, 5]",True
Na2Bi3Br11,"[2, 3, 11]",False
Na3Bi1Br6,"[3, 1, 6]",True
Na3Bi2Br9,"[3, 2, 9]",True
Na4Bi1Br7,"[4, 1, 7]",False
Na4Bi3Br13,"[4, 3, 13]",False
Na5Bi1Br8,"[5, 1, 8]",False
Na5Bi2Br11,"[5, 2, 11]",False
Na6Bi1Br9,"[6, 1, 9]",False
Na7Bi1Br10,"[7, 1, 10]",False
Na8Bi1Br11,"[8, 1, 11]",False
Na1Bi1I4,"[1, 1, 4]",True
Na1Bi2I7,"[1, 2, 7]",True
Na1Bi3I10,"[1, 3, 10]",False
Na1Bi4I13,"[1, 4, 13]",False
Na2Bi1I5,"[2, 1, 5]",True
Na2Bi3I11,"[2, 3, 11]",False
Na3Bi1I6,"[3, 1, 6]",True
Na3Bi2I9,"[3, 2, 9]",True
Na4Bi1I7,"[4, 1, 7]",False
Na4Bi3I13,"[4, 3, 13]",False
Na5Bi1I8,"[5, 1, 8]",False
Na5Bi2I11,"[5, 2, 11]",False
Na6Bi1I9,"[6, 1, 9]",False
Na7Bi1I10,"[7, 1, 10]",False
Na8Bi1I11,"[8, 1, 11]",False
Na1Pb1Br3,"[1, 1, 3]",True
Na1Pb2Br5,"[1, 2, 5]",True
Na1Pb3Br7,"[1, 3, 7]",False
Na1Pb4Br9,"[1, 4, 9]",False
Na1Pb5Br11,"[1, 5, 11]",False
Na1Pb6Br13,"[1, 6, 13]",False
Na2Pb1Br1,"[2, 1, 1]",False
Na2Pb1Br4,"[2, 1, 4]",False
Na2Pb3Br8,"[2, 3, 8]",False
Na2Pb5Br12,"[2, 5, 12]",False
Na3Pb1Br2,"[3, 1, 2]",False
Na3Pb1Br5,"[3, 1, 5]",True
Na3Pb2Br1,"[3, 2, 1]",False
Na3Pb2Br7,"[3, 2, 7]",False
Na3Pb4Br11,"[3, 4, 11]",False
Na4Pb1Br3,"[4, 1, 3]",False
Na4Pb1Br6,"[4, 1, 6]",True
Na4Pb3Br1,"[4, 3, 1]",False
Na4Pb3Br10,"[4, 3, 10]",False
Na5Pb1Br4,"[5, 1, 4]",False
Na5Pb1Br7,"[5, 1, 7]",False
Na5Pb2Br3,"[5, 2, 3]",False
Na5Pb2Br9,"[5, 2, 9]",False
Na5Pb3Br2,"[5, 3, 2]",False
Na5Pb3Br11,"[5, 3, 11]",False
Na5Pb4Br1,"[5, 4, 1]",False
Na6Pb1Br5,"[6, 1, 5]",False
Na6Pb1Br8,"[6, 1, 8]",False
Na6Pb5Br1,"[6, 5, 1]",False
Na7Pb1Br6,"[7, 1, 6]",False
Na7Pb1Br9,"[7, 1, 9]",False
Na7Pb2Br5,"[7, 2, 5]",False
Na7Pb2Br11,"[7, 2, 11]",False
Na7Pb3Br4,"[7, 3, 4]",False
Na7Pb4Br3,"[7, 4, 3]",False
Na7Pb5Br2,"[7, 5, 2]",False
Na7Pb6Br1,"[7, 6, 1]",False
Na8Pb1Br7,"[8, 1, 7]",False
Na8Pb1Br10,"[8, 1, 10]",False
Na8Pb3Br5,"[8, 3, 5]",False
Na8Pb5Br3,"[8, 5, 3]",False
Na8Pb7Br1,"[8, 7, 1]",False
Na9Pb1Br8,"[9, 1, 8]",False
Na9Pb2Br7,"[9, 2, 7]",False
Na9Pb4Br5,"[9, 4, 5]",False
Na9Pb5Br4,"[9, 5, 4]",False
Na9Pb7Br2,"[9, 7, 2]",False
